name,prompt,negative_prompt
lora测试,"(RAW photo, best quality:1.1),(realistic, photo-realistic:1.3),best quality,masterpiece,unity,extremely detailed CG unity 8k wallpaper,ultra-detailed,black high set hair,sweet and charming smile,delicate and beautiful fair skin,high nose bridge,sexy lips,flowing and smooth hair,sunshine,extremely delicate hair,soft temperament,(high set hair:1.1),1girl,fine facial features,hair over shoulder,brown hair,((bright and clean skin)),((facing viewer)),(((full_body))),(((standing))),
<lora:ronghua-upper-000004:0.8>
Negative prompt: (low quality, worst quality:1.5), bad-image-v2-39000,bad_prompt_version2, EasyNegativeV2, ugly, blemish,blush,bad-artist, ng_deepnegative_v1_75t
Steps: 30, Sampler: DPM++ 2M SDE Karras, CFG scale: 7, Seed: -1, Size: 512x512, Model hash: fc2511737a, Model: chilloutmix_NiPrunedFp16Fix, Denoising strength: 0.7, Clip skip: 2, ADetailer: True, ADetailer model: face_yolov8n.pt, ADetailer confidence: 0.3, ADetailer dilate/erode: 4, ADetailer mask blur: 4, ADetailer denoising strength: 0.4, ADetailer inpaint only masked: True, ADetailer inpaint padding: 32, ADetailer version: 23.7.9, Hires upscale: 2, Hires upscaler: 4x-UltraSharp, Lora hashes: ""ronghua-upper-000004: b6a4b579fd74"", Version: v1.3.1",
[正咒]-高质量,"(best quality),((masterpiece)),(highres), original, extremely detailed 8K wallpaper,(an extremely delicate and beautiful),",
[正咒]-画质改善,"ray tracing,(best quality),((masterpiece)),(highres), original, extremely detailed 8K wallpaper,(an extremely delicate and beautiful),incredibly_absurdres,colorful,intricate detail,artbook,",
naifu基础起手式,"masterpiece, best quality, ","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry"
2.5D人物基础咒语,"(best quality), ((masterpiece)), (highres), (an extremely delicate and beautiful), original, extremely detailed wallpaper,
","worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,bad_anatomy,bad_feet,bad_hands,bad_perspective,bad_proportions,error,extra_arms,extra_ears,extra_eyes,extra_mouth,feet_out_of_frame,foot_out_of_frame,greyscale,head_out_of_frame,out-of-frame_censoring,out_of_frame,wrong_feet,"
[反咒]-万能,,"multiple breasts, (mutated hands and fingers:1.5 ), (long body :1.3), (mutation, poorly drawn :1.2) , black-white, bad anatomy, liquid body, liquid tongue, disfigured, malformed, mutated, anatomical nonsense, text font ui, error, malformed hands, long neck, blurred, lowers, lowres, bad anatomy, bad proportions, bad shadow, uncoordinated body, unnatural body, fused breasts, bad breasts, huge breasts, poorly drawn breasts, extra breasts, liquid breasts, heavy breasts, missing breasts, huge haunch, huge thighs, huge calf, bad hands, fused hand, missing hand,"
[反咒]-单人专用,,"(Multiple people),lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit,"
[反咒]-不要打码,,"censored,identity_censor,convenient_censoring,bar_censor,blur_censor,character_censor,"
[反咒]-反肢体崩坏,,"extra fingers, fused fingers, bad proportions, missing arms, missing legs, extra arms, extra legs ,missing hands, malformed limbs, extra fingers, extra fingers, fused fingers, bad proportions, missing arms, missing legs, extra arms, extra legs ,missing hands, malformed limbs, extra fingers,,"
[反咒]-反脚部崩坏,,"poorly drawn hairs,bad face,fused face,poorly drawn face,cloned face,missing ears,bad eyes,,Eyes facing different directions,bad tongue,bad mouth,fused mouth,cracked mouth,liquid tongue,huge thighs,disappearing toes,disappearing feet,long feet,too many toes,the toe of the mast,the foot of the mast,distorted feet,bad feet,ugly,malformed feet,extra digits,big feet,missing feet,less than 2 legs,more than 2 legs,extra legs,mutated feet,extra feet,poorly drawn feet,error,bad anatomy,fused,quality,badfeetlowres,morethan2nipples,outofframe,lowres,text,jpegartifacts,big toes,hermaphrodite,grossproportions,signature,watermark,username,extra digit,fewer digits,cropped,milf,morbid,tranny,tranny,duplicate,yaio,clonedface,multiplebreasts,trannsexual,(pov),(day),"
[反咒]-超级反崩坏(独立使用),,"multiple breasts, (mutated hands and fingers: 1.5), (long body 1.3), (mutation, poorly drawn 1.2), black-white, bad anatomy, liquid body, liquid tongue, disfigured, malformed, mutated, anatomical nonsense, text font ui, error, malformed hands, long neck, blurred, lowers, lowres, bad anatomy, bad proportions, bad shadow, uncoordinated body, unnatural body, fused breasts, bad breasts, huge breasts, poorly drawn breasts, extra breasts, liquid breasts, heavy breasts, missing breasts, huge haunch, huge thighs, huge calf, bad hands, fused hand, missing hand, disappearing arms, disappearing thigh, disappearing calf, disappearing legs, fused ears, bad ears, poorly drawn ears, extra ears, liquid ears, heavy ears, missing ears, fused animal ears, bad animal ears, poorly drawn animal ears, extra animal ears, liquid animal ears, heavy animal ears, missing animal ears, text, ui, error, missing fingers, missing limb, fused fingers, one hand with more than 5 fingers, one hand with less than 5 fingers,one hand with more than 5 digit, one hand with less than 5 digit, extra digit, fewer digits, fused digit, missing digit, bad digit, liquid digit, colorful tongue, black tongue, cropped, watermark, username, blurry, JPEG artifacts, signature, 3D, 3D game, 3D game scene, 3D character, malformed feet, extra feet, bad feet, poorly drawn feet, fused feet, missing feet, extra shoes, bad shoes, fused shoes, more than two shoes, poorly drawn shoes, bad gloves, poorly drawn gloves, fused gloves, bad cum, poorly drawn cum, fused cum, bad hairs, poorly drawn hairs, fused hairs, big muscles, ugly, bad face, fused face, poorly drawn face, cloned face, big face, long face, bad eyes, fused eyes poorly drawn eyes, extra eyes, malformed limbs, more than 2 nipples, missing nipples, different nipples, fused nipples, bad nipples, poorly drawn nipples, black nipples, colorful nipples, gross proportions. short arm, (((missing arms))), missing thighs, missing calf, missing legs, mutation, duplicate, morbid, mutilated,poorly drawn cloth, bad pantie, yellow teeth, thick lips, bad cameltoe, colorful cameltoe, bad asshole, poorly drawn asshole, fused asshole, missing asshole, bad anus, bad pussy, bad crotch, bad crotch seam, fused anus, fused pussy, fused anus, fused crotch, poorly drawn crotch, fused seam, poorly drawn anus, poorly drawn pussy, poorly drawn crotch, poorly drawn crotch seam, bad thigh gap, missing thigh gap, fused thigh gap, liquid thigh gap, poorly drawn thigh gap, poorly drawn anus, bad collarbone, fused collarbone, missing collarbone, liquid collarbone, strong girl, obesity, worst quality, low quality, normal quality, liquid tentacles, bad tentacles, poorly drawn tentacles, split tentacles, fused tentacles, missing clit, bad clit, fused clit, colorful clit, black clit, liquid clit, QR code, bar code, censored, safety panties, safety knickers, beard, furry pony, pubic hair, mosaic, excrement, faeces, shit, futa, testis,"
[局部重绘0.5]-修手,"ray tracing,(best quality),((masterpiece)),(highres), original, extremely detailed 8K wallpaper,(an extremely delicate and beautiful),incredibly_absurdres,colorful,intricate detail,artbook,","修手,((poorly drawn hands)) more than 1 left hand, more than 1 right hand, short arm, (((missing arms))), bad hands,missing fingers,extradigit,fewer digits,mutated hands,(fused fingers),(too many fingers),sharp fingers,wrong figernails,long hand,double middle finger,index fingers together,missing indexfinger,interlocked fingers,pieck fingers,sharp fingernails,(steepled fingers),x fingers,curled fingers,interlocked fingers,fingers different thickness,cross fingers,poor outline,big fingers,finger growth,outline on body,outline on hair,out line on background,outline not on fingers,more than one hands,fuse arm,fuse elbow,more than two arm,more than two elbow,hand:fingers(1:5),arm:finger(1:1),"
[局部重绘0.5]-修手2,"ray tracing,(best quality),((masterpiece)),(highres), original, extremely detailed 8K wallpaper,(an extremely delicate and beautiful),incredibly_absurdres,colorful,intricate detail,artbook,","修手2,((poorly drawn hands)) more than 1 left hand, more than 1 right hand, short arm, (((missing arms))), bad hands,missing fingers,extradigit,fewer digits,mutated hands,(fused fingers),(too many fingers),sharp fingers,wrong figernails,long hand,double middle finger,index fingers together,missing indexfinger,interlocked fingers,pieck fingers,sharp fingernails,(steepled fingers),x fingers,curled fingers,interlocked fingers,fingers different thickness,cross fingers,poor outline,big fingers,finger growth,outline on body,outline on hair,out line on background,outline not on fingers,more than one hands,fuse arm,fuse elbow,more than two arm,more than two elbow,hand:fingers(1:5),arm:finger(1:1),"
XenosPopStyle," (((Extremely detailed, Exact, Wikihow, highlighted, delineated, comic painting, detailed face, [(colorful explosion psychedelic toxic neon paint colors:1.2)::0.20])))",
