"masterpiece, illustration,best quality,delicate details,refined rendering,hand by Guido Daniele",插画风起手式
"extremely detailed CG unity 8k wallpaper,realistic,hand by Guido Daniele",CG风起手式
"a professional photography of a handsome man with [silver|blue]hair wear suit walking on street, 85mm lens, front view, halfbody shot, photograhpy, sharp focus, HD, 8k",半身特写起手式
"professional photography,birds eye view,masterpiece, illustratio,HD,8k,high quality,",鸟瞰风景
"fantasy color,jandscape,professional photography,fantasy,24mm lens,birds eye view, photograhpy, HD, 8k,a painting of a beautiful landscape background,color field,psychedelic art,fantasy style illustration,bright colors,ultra wide angle,",缤纷的风景
"ugly,bad_anatomy,bad_hands,extra_hands,missing_fingers,broken hand,more than two hands,well proportioned hands,more than two legs,unclear eyes,missing_arms,mutilated,extra limbs,extra legs,cloned face,fused fingers,extra_digit, fewer_digits,extra_digits,jpeg_artifacts,signature,watermark,username,blurry,large_breasts,worst_quality,low_quality,normal_quality,mirror image, Vague",恐怖的人体结构
"Low Res, High Res, Worst Quality, Low Quality, Normal Quality, blurry,Repeated, Distorted, Mirrored, Symmetrical, JPG Artifacts,watermark,signature,username,artist name",丑陋的风景
"highest quality,masterpiece,hand of Guido Daniele,blue_hair, 1girl, (rem_\(re:zero\)),solo,maid, short_hair, detached_sleeves, roswaal_mansion_maid_uniform, white_legwear, skirt,beautiful sunset,falling petals,upper body,85mm lens,8K,HD,(family friendly),Smile,CG,outside roswaal_mansion,x hairpin,spread_arms,welcome,pink lips,beautiful ribbon,bangs cover the right eye,beautiful hands",雷姆
eye details,眼部细节
ink,墨水
color pencil,色铅笔
charcoal drawing,炭笔画
water color,水彩
painting,油画
pencil drawing,铅笔画
paint spray,喷漆
finger painting,指画
electric drawing,电绘
2B pencil,2B铅笔
crayon,蜡笔
sand painting,沙画
pen drawing,钢笔画
chalk grawing,粉笔画
stone statue,石雕
oil paint,油性颜料
metal plate painting,金属板画
blue ballpoint pen,蓝原子笔
impasto,厚涂
cartoon style illustration,卡通风格插画
old movie style,老电影风格
animation style,动画风格
comics style,漫画风格
fantasy style illustration,幻想风格
academic art,学院艺术
arti realism,唯美主义
line drawing  style illustration,线条画风插画
retro  style illustration,复古风格插画
sketch,速写
hand draw style illustration,手绘风格插画
color block style illustration,色块风格插画
future  style illustration,未来风格插画
modern Art,现代艺术
game CG,CG
realistic,写实风格
Black and white photo,黑白照片
tachi-e,立绘
AI cyborg,AI电子人
cyberpunk art,赛博庞克艺术
psychedelic,迷幻的
funky,放克风
Xerox art,复印艺术
color field,色域绘画
matte painting,哑光绘画
wide angle,广角
depth of field blur,景深模糊
depth of field,景深
macro lens,微距镜头
fisheye lens,鱼眼镜头
85mm long lens,"85mm长镜头(85-135mm),近景人像"
close-up portrait,近景人像
24mm wide-angle lens,"24mm广角镜头(24-35mm),广角人像"
wide angle portrait,广角人像
70mm telephoto lens,"70mm望远镜头(70-200mm),远景人像,长焦风景"
long view portrait,远景人像
face close-up,脸部特写
14mm wide angle lens,"14mm广角镜头(14-25),广角风景"
panoramic landscape,全景风景
far close-up,长特写
vignette,晕映
high definition,高清晰度
half face close-up,半脸特写
gopro view,gopro视角
ultra wide angle,超广角
aerial view,空拍
birds eye view,鸟瞰
cinematic?lighting,电影灯光
lens flare,镜头光晕
light leaks,漏光
indoor light,室内光线
glow,光辉
deep glow,深光
polygonal flare light,多边形耀斑光
neon lights,霓虹灯
spotlight,聚光灯
sunshine,太阳光
reflected light,反射光
scattered light,散射光
refracted light,折射光
cast light,投射光
shading,遮光
natural light,自然光
glass material,玻璃材质
copper,铜材质
stone carving,石材雕刻
silk canvas,丝绸画布
crystal material,水晶材质
Metal Material,金属材质
precision instrument,精密仪器
filigree,花丝
suede,麂皮
satin,绸缎
pearl cellophane,珠光玻璃纸
azure blue,天空蓝
water blue,水蓝色
aqua,水色
sapphire blue,宝石蓝
blue,纯蓝
dark blue,深蓝
navy,海军蓝
royal blue,宝蓝
dodger blue,道奇蓝
light sky blue,亮天蓝
deep sky blue,深天蓝
cyan,青色
light steel blue,亮钢蓝
crimson,深红色
pink,粉红色
light pink,亮粉红
hot pink,热情粉红
lavender blush,淡紫红
red,红色
yellow,纯黄
light goldenrod yellow,亮菊黄
lemon chiffon,柠檬黄
aquamarine,碧绿
turquoise,宝石绿
sea green,海洋绿
lime,闪光绿
green,绿色
white,白
detailed sunset glow,详细的夕阳光
sunset,夕阳
beautiful detailed sky,美丽详细的天空
blue sky,蓝天
in the rain,在雨里
sunrise,日出
rainy days,下雨天
cloudy day,阴天
glinting stars,闪亮的星星
full moon,满月
against backlight at dusk,黄昏逆光
snowy,雪
foggy day,大雾天
thunderstorm,暴风雨
night,夜晚
light of waves,波光粼粼
coast,海岸
beautiful detailed water,水的美丽细节
waves,波浪
waves floating flow,波浪漂浮流动
bay,海湾
harbor,海港
reef,礁石
seascape,海景
beach,沙滩
sea spray,海浪花
huge waves,巨浪
surf,冲浪
azure blue,湛蓝
aquamarine,浅绿
shimmering,闪耀的
Storm,风暴
cumulonimbus cloud,积雨云
on the ocean,在大海上
valley,山谷
snow-capped mountain,雪山
mount fuji,富士山
mountain range,群山
cliff,悬崖
hill,山丘
high mountain,高山
precipitous,陡峭
hillside,山坡
volcano,火山
sea of clouds,云海
gorge,溪谷
Lake,湖泊
rapids,激流
maple forest,枫树林
mine forest,针树林
cherry blossom forest,樱花林
forest,森林
blazing,熊熊燃烧
candle flame,烛火
flickering fire,闪耀的火焰
explosion,爆炸
combustion,燃烧
green chemical flame,绿色化学火焰
flames,烈焰
will o' the wisp,鬼火
campfire,营火
fireworks Social,社交烟火
industrial Fireworks,工业烟火
Fireworks Game,游戏烟火
meteor fireworks,流星烟火
Flower Fireworks,花火
castle,城堡
minaret,尖塔
street background,街道背景
bus stop sign,公车站牌
Japanese style porch,日式缘廊
bar,酒吧
Sweden is interior space,瑞典式室内空间
cityscape,城市风景
cyberpunk city,赛博庞克城市
baroque architecture,巴洛克建筑
rainy night in a cyberpunk city with glowing neon lights,下雨的赛博庞克城市与霓虹灯
hot spring,温泉
Japanese hot spring,日式温泉
lighthouse,灯塔
ruins,遗迹
Japanese garden,日式庭园
cafe,咖啡厅
torii,鸟居
falling petals,飘落的花瓣
roses,玫瑰花
cherry blossoms,樱花
morning glory,牵牛花
peony,芍药花
lily flower,百合花
street with cherry blossoms,樱花街道
wisteria flower,紫藤花
sunflower,向日葵
bellflower,桔梗
bouquet,花束
flower field,花田
falling flowers,落花
flower details,花朵细节
plum bossom,梅花
thin smoke,薄烟
thick smoke,浓烟
thick smoke,厚烟
dense smoke,浓密的烟
steam from boiling water,沸水蒸气
steam from a sauna,桑拿房蒸气
circle of smoke,圈状烟
rolling fog,滚动的雾
mist,水雾
light fog,薄雾
dense fog,浓雾
wisp of smoke,烟丝
color smoke Bombs,彩色烟雾弹
steam,蒸汽
floating colorful bubbles,漂浮七彩泡泡
night view,夜景
light particle,光粒子
water droplets on photo surface,照片表面的水滴
shooting star,流星
sparkle,闪闪发光
round tree,圆形树
cherry blossom tree,樱花树
red maple,红枫树
shoulder length short hair,及肩短发
hedgehog head,刺猬头
Bob Cut,"Bob头,妹妹头"
Long curly hair,长卷发
black long straight,黑长直
floating hair,浮动的头发
messy hair,一头乱发
layered Hair,头发层次
half-Up Hair,公主头
high ponytail,高马尾
low ponytail,低马尾
asymmetrical Haircut,不对衬发型
updo,"盘发,发髻"
punk head,庞克头
buzz cut with waves,"波浪平头,黑人头"
crew cut,平头
undercut with Tattoos,刺青头发
slicked Back hair,向后梳的头发
Ponytail with Bangs,马尾加浏海
double bun,双包子头
drill hair,钻头卷发
 twin tails,双马尾
hair bun,包子头
hair wings,翼状头发
thick bangs teddy curly hair,泰迪发型
oval face,鹅蛋脸
square face,方脸
Long square face,长方脸
round face,圆脸
diamond face,钻型脸
heart shaped face,心型脸
inverted triangle face,倒三角脸
orangutan face,猩猩脸
BOOBS,童颜巨乳
profile,侧脸
sparse brows,细碎眉
straight brows,直眉
arched brows,弯眉
round brows,圆眉
high arched brows,高挑眉
gradual brows,渐变眉
wide brows,宽眉
thin brows,细眉
fluffy brows,毛灿眉
flat brows,平眉
willow eyebrow,柳叶眉
unibrow,一字眉
flat Lips,平唇
gradual Lips,渐变唇
round Lips,圆唇
red lips,红唇
full lips,厚唇
thin lips,薄唇
pouty lips,翘唇
plump lips,丰唇
rosy lips,粉唇
soft lips,柔软的嘴唇
natural makeup,淡妆
without makeup,素颜
smoky makeup,烟熏妆
transparent makeup,裸妆
cat eye makeup,猫眼妆
small smoky makeup,小烟熏妆
barbie makeup,芭比妆
dinner cold makeup,晚宴冷妆
dinner warm makeup,晚宴暖妆
stage makeup,舞台妆
smile gently,轻轻的微笑
toothy smile,露齿微笑
Smile,微笑
embarrassed,害羞
blush,脸红
expressionless,无表情
Heartbroken,悲伤
frown,皱眉
angry,生气
crying with eyes open,张着眼哭
serious,严肃
pout,噘嘴
naughty face,下流表情
ahegao,阿黑颜
crazy,疯狂的
determination,坚毅的
open mouth,张嘴
clenched teeth,咬紧牙关
straight Long Bangs,长直刘海
side swept Bangs,侧浏海
half bangs,半分浏海
wavy bangs,卷浏海
French bangs,法式浏海
air bangs,空气浏海
middle parted bangs,中分浏海
braided bangs,辫子浏海
bangs between eyes,眼间浏海
Qi bangs,齐浏海
messy bangs,乱浏海
character bangs,八字浏海
eyebrow bangs,眉上浏海
Korean bangs,韩系浏海
Japanese bangs,日系浏海
bangs slightly covered eyebrows,微盖眉眼上浏海
elf ears,精灵耳
cat ears,猫耳
